row_index,TweetId,occurrence_in_row,alignment_type,wrong_word,correct_word,review_label,review_reason,wrong_in_processed_freq,correct_in_processed_freq,wrong_in_original_freq,edit_distance,orthographic_variant,original_block,processed_block,CleanOriginal,CleanProcessed,TweetOriginal,TweetProcess
130,6727,1,token_replace,مرتد,مرد,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,37,30,32,1,False,یہودن مرتد,یہودی مرد,میں یہی تو بات کر رہا ہوں کہ یہ لوگ بغض میں اتنے اندھے ہو گئے کہ ایک مسلمان عورت، چاہے جیسی بھی ہے وہ،اس کے مقابلے میں ایک یہودن مرتد کی تعریفیں کر رہے ہیں ۔ بے شرم لوگ۔,میں یہی تو بات کر رہا ہوں کہ یہ لوگ بغض میں اتنے اندھے ہو گئے کہ ایک مسلمان عورت، چاہے جیسی بھی ہے وہ،اس کے مقابلے میں ایک یہودی مرد کی تعریفیں کر رہے ہیں ۔ بےشرم لوگ۔,@Hussain50481396 @farzana_amjid میں یہی تو بات کر رہا ہوں کہ یہ لوگ بغض میں اتنے اندھے ہو گئے کہ ایک مسلمان عورت، چاہے جیسی بھی ہے وہ،اس کے مقابلے میں ایک یہودن مرتد کی تعریفیں کر رہے ہیں ۔ بے شرم لوگ۔,@Hussain50481396 @farzana_amjid میں یہی تو بات کر رہا ہوں کہ یہ لوگ بغض میں اتنے اندھے ہو گئے کہ ایک مسلمان عورت، چاہے جیسی بھی ہے وہ،اس کے مقابلے میں ایک یہودی مرد کی تعریفیں کر رہے ہیں ۔ بےشرم لوگ۔
154,8573,1,token_replace,نا,ہونا,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,143,58,154,2,False,پیداہو نا,پیدا ہونا,پیداہو نا لازمی ہے کہ مال کے حریص یہودی اور عیسائی اس مہم پر اربوں کھر بوں ڈالر آخر کیوں خرچکر رہے ہیں؟ یہ عالم اسلام اور باقی دنیا کے خلاف کو ئی خطرناک سازش تو نہیں ہے؟ اس کے علاوہغور طلب بات یہ بھی ہے کہ دور ماضی میں ملیریا اور چیچک کے خاتمے کے لیے ٹیکے لگائے گئے تھے ۔کیا ان,پیدا ہونا لازمی ہے کہ مال کے حریص یہودی اور عیسائی اس مہم پر اربوں کھر بوں ڈالر آخر کیوں خرچ کر رہے ہیں؟ یہ عالم اسلام اور باقی دنیا کے خلاف کو ئی خطرناک سازش تو نہیں ہے؟ اس کے علاوہ غور طلب بات یہ بھی ہے کہ دور ماضی میں ملیریا اور چیچک کے خاتمے کے لیے ٹیکے لگائے گئے تھے,5/ پیداہو نا لازمی ہے کہ مال کے حریص یہودی اور عیسائی اس مہم پر اربوں کھر بوں ڈالر آخر کیوں خرچکر رہے ہیں؟ یہ عالم اسلام اور باقی دنیا کے خلاف کو ئی خطرناک سازش تو نہیں ہے؟ اس کے علاوہغور طلب بات یہ بھی ہے کہ دور ماضی میں ملیریا اور چیچک کے خاتمے کے لیے ٹیکے لگائے گئے تھے ۔کیا ان,5/ پیدا ہونا لازمی ہے کہ مال کے حریص یہودی اور عیسائی اس مہم پر اربوں کھر بوں ڈالر آخر کیوں خرچ کر رہے ہیں؟ یہ عالم اسلام اور باقی دنیا کے خلاف کو ئی خطرناک سازش تو نہیں ہے؟ اس کے علاوہ غور طلب بات یہ بھی ہے کہ دور ماضی میں ملیریا اور چیچک کے خاتمے کے لیے ٹیکے لگائے گئے تھے
181,9899,1,token_replace,ہر,پر,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,168,1383,152,1,False,ہر,پر,ایسے صحافی ہر لعنت ہی بنتی جو اپنی خبر کی تصدیق نا کر سکتا ہو,ایسے صحافی پر لعنت ہی بنتی جو اپنی خبر کی تصدیق نا کر سکتا ہو,@CMMobeen @SenDrAbdulKarim @mahwishzafar7 @Hestia2007 @afnanullahkh @summandar01 @RehamKhan1 @realrazidada @UmarCheema1 @asmashirazi @sanabucha ایسے صحافی ہر لعنت ہی بنتی جو اپنی خبر کی تصدیق نا کر سکتا ہو,@CMMobeen @SenDrAbdulKarim @mahwishzafar7 @Hestia2007 @afnanullahkh @summandar01 @RehamKhan1 @realrazidada @UmarCheema1 @asmashirazi @sanabucha ایسے صحافی پر لعنت ہی بنتی جو اپنی خبر کی تصدیق نا کر سکتا ہو
250,11436,1,token_replace,دیر,دے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,17,221,17,2,False,دیر,دے,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلو یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلوں یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی,"یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلو یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی
#AltafNeedsJustice
#الطاف_کا_پاکستان_زندہ_باد https://t.co/GzDDKdSPDj","یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلوں یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی

 "
250,11436,1,token_replace,چلو,چلوں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,12,2,12,1,False,چلو,چلوں,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلو یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلوں یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی,"یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلو یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی
#AltafNeedsJustice
#الطاف_کا_پاکستان_زندہ_باد https://t.co/GzDDKdSPDj","یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلوں یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی

 "
250,11436,1,token_replace,اپنا,اپنی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,88,318,82,1,False,اپنا,اپنی,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلو یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلوں یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی,"یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلو یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی
#AltafNeedsJustice
#الطاف_کا_پاکستان_زندہ_باد https://t.co/GzDDKdSPDj","یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلوں یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی

 "
250,11436,1,token_replace,کیسی,کسی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,8,251,12,1,False,کیسی,کسی,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلو یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی,یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں انکو بتاتا چلوں یہ نہیں ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی,"یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دیر کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلو یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنا عوام کیسی کو نہیں چھوڑے گی
#AltafNeedsJustice
#الطاف_کا_پاکستان_زندہ_باد https://t.co/GzDDKdSPDj","یہ سارے بیغرت کی نسل لندن کورٹ میں جھوٹی گواہی دے کر اور میڈیا پر خود کو عوام کی نظر میں بے قصور ظاہر کررہے ہیں
انکو بتاتا چلوں یہ 1992 نہیں 2022 ہے عوام سب جانتی ہے تم نے کیا کیا حرامی پنا دیکھایا اپنی عوام کسی کو نہیں چھوڑے گی

 "
261,12498,1,token_replace,کیسی,کسی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,8,251,12,1,False,کیسی یوتھے,کسی یوتھیے,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں 😂😂😂 https://t.co/921vGLGjvE,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی 😂😂😂 
261,12498,1,token_replace,اڑانے,اڑانی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,4,1,4,1,True,نید اڑانے,نیند اڑانی,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں 😂😂😂 https://t.co/921vGLGjvE,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی 😂😂😂 
261,12498,1,token_replace,کہا,کہ,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,100,960,93,1,False,کہا,کہ,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں 😂😂😂 https://t.co/921vGLGjvE,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی 😂😂😂 
261,12498,1,token_replace,گیں,گی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,3,167,4,1,False,گیں,گی,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی,اگر کیسی یوتھے کی نید اڑانے ھو تو اسکے کان میں چپ کرکے گوگی گھڑی کہا دیں اسکی سات نسلیں رونا بند نہں کریں گیں 😂😂😂 https://t.co/921vGLGjvE,اگر کسی یوتھیے کی نیند اڑانی ھو تو اس کے کان میں چپ کرکے گوگی گھڑی کہ دیں اس کی سات نسلیں رونا بند نہیں کریں گی 😂😂😂 
319,18406,1,token_replace,سی,سے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,72,2381,70,1,True,سی,سے,مولانا صاحب دامت برکاتہم ہمیں بھی آپ سی یہی شکوہ رہا ہے کہ آپ تبلیغی اجتماعات میں ایسی گفتگو نہ کیا کریں جو شیعت کو چھڑوایا دیتی ہو ہمیں بھی آپ سے ہاتھ جوڑ کر درخواست ہے ایک مرتد کافر کو گلے لگانا جو اس دنیا میں حضور کے بعد سب سے پاک ہستیوں کی توہیں کرتے ہیں,مولانا صاحب دامت برکاتہم ہمیں بھی آپ سے یہی شکوہ رہا ہے کہ آپ تبلیغی اجتماعات میں ایسی گفتگو نہ کیا کریں جو شیعت کو چھڑوایا دیتی ہو ہمیں بھی آپ سے ہاتھ جوڑ کر درخواست ہے ایک مرتد کافر کو گلے لگانا جو اس دنیا میں حضور کے بعد سب سے پاک ہستیوں کی توہین کرتے ہیں,@TariqJamilOFCL مولانا صاحب دامت برکاتہم ہمیں بھی آپ سی یہی شکوہ رہا ہے کہ آپ تبلیغی اجتماعات میں ایسی گفتگو نہ کیا کریں جو شیعت کو چھڑوایا دیتی ہو ہمیں بھی آپ سے ہاتھ جوڑ کر درخواست ہے ایک مرتد کافر کو گلے لگانا جو اس دنیا میں حضور کے بعد سب سے پاک ہستیوں کی توہیں کرتے ہیں,@TariqJamilOFCL مولانا صاحب دامت برکاتہم ہمیں بھی آپ سے یہی شکوہ رہا ہے کہ آپ تبلیغی اجتماعات میں ایسی گفتگو نہ کیا کریں جو شیعت کو چھڑوایا دیتی ہو ہمیں بھی آپ سے ہاتھ جوڑ کر درخواست ہے ایک مرتد کافر کو گلے لگانا جو اس دنیا میں حضور کے بعد سب سے پاک ہستیوں کی توہین کرتے ہیں
339,20016,1,token_replace,اسے,ایسے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,96,139,87,1,False,اسے,ایسے,اگر پروز الہی اسمبلى تحلیل کرتے ہیں تو آپ میں اور ہیرا منڈی طوافوں میں کوئی فرک نہیں وہ بھی نہ نہ کر کے مانتی ہیں اور آپ بھی اسے ہی کرتے ہو,اگر پرواز الہی اسمبلى تحلیل کرتے ہیں تو آپ میں اور ہیرامنڈی طوافوں میں کوئی فرق نہیں وہ بھی نہ نہ کر کے مانتی ہیں اور آپ بھی ایسے ہی کرتے ہو,اگر پروز الہی اسمبلى تحلیل کرتے ہیں تو آپ میں اور ہیرا منڈی طوافوں میں کوئی فرک  نہیں وہ بھی نہ نہ کر کے مانتی ہیں اور آپ بھی اسے ہی کرتے ہو,اگر پرواز الہی اسمبلى تحلیل کرتے ہیں تو آپ میں اور ہیرامنڈی طوافوں میں کوئی فرق  نہیں وہ بھی نہ نہ کر کے مانتی ہیں اور آپ بھی ایسے ہی کرتے ہو
392,22169,1,token_replace,اس,اسی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1379,117,1257,1,False,ہیے اس,ہے اسی,میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہیے اس لیے انکے جج ہمارے بارے می کہتے کہ پا کستانی اپنی مان کو فروخت کرتی ہیے کیا ہم سب برایے فروخت ہیے,میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہے اسی لیے انکے جج ہمارے بارے میں کہتے کہ پا کستانی اپنی ماں کو فروخت کرتے ہیں کیا ہم سب براۓ فروخت ہیں,@SenatorMushtaq @GovtofPakistan میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہیے اس لیے انکے جج ہمارے بارے می کہتے کہ پا کستانی اپنی مان کو فروخت کرتی ہیے کیا ہم سب برایے فروخت ہیے,@SenatorMushtaq @GovtofPakistan میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہے اسی لیے انکے جج ہمارے بارے میں کہتے کہ پا کستانی اپنی ماں کو فروخت کرتے ہیں کیا ہم سب براۓ فروخت ہیں
392,22169,1,token_replace,مان,ماں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,27,128,29,1,True,مان,ماں,میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہیے اس لیے انکے جج ہمارے بارے می کہتے کہ پا کستانی اپنی مان کو فروخت کرتی ہیے کیا ہم سب برایے فروخت ہیے,میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہے اسی لیے انکے جج ہمارے بارے میں کہتے کہ پا کستانی اپنی ماں کو فروخت کرتے ہیں کیا ہم سب براۓ فروخت ہیں,@SenatorMushtaq @GovtofPakistan میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہیے اس لیے انکے جج ہمارے بارے می کہتے کہ پا کستانی اپنی مان کو فروخت کرتی ہیے کیا ہم سب برایے فروخت ہیے,@SenatorMushtaq @GovtofPakistan میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہے اسی لیے انکے جج ہمارے بارے میں کہتے کہ پا کستانی اپنی ماں کو فروخت کرتے ہیں کیا ہم سب براۓ فروخت ہیں
392,22169,1,token_replace,کرتی,کرتے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,43,264,43,1,True,کرتی ہیے,کرتے ہیں,میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہیے اس لیے انکے جج ہمارے بارے می کہتے کہ پا کستانی اپنی مان کو فروخت کرتی ہیے کیا ہم سب برایے فروخت ہیے,میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہے اسی لیے انکے جج ہمارے بارے میں کہتے کہ پا کستانی اپنی ماں کو فروخت کرتے ہیں کیا ہم سب براۓ فروخت ہیں,@SenatorMushtaq @GovtofPakistan میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہیے اس لیے انکے جج ہمارے بارے می کہتے کہ پا کستانی اپنی مان کو فروخت کرتی ہیے کیا ہم سب برایے فروخت ہیے,@SenatorMushtaq @GovtofPakistan میر صاحب ہم جدی پشتی بردہ فروش ہیے ہمارا مزاج وہ مخلوط نسل اچھی طرح جانتی ہے اسی لیے انکے جج ہمارے بارے میں کہتے کہ پا کستانی اپنی ماں کو فروخت کرتے ہیں کیا ہم سب براۓ فروخت ہیں
398,23076,1,token_replace,دلیر,دلیری,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,3,4,4,1,False,دلیر,دلیری,یہود اور روافض جنگ میں سب سے بزدل قوم ہیں، جب کبھی بھی ان میں قوت نظر آئے یا غالب ہوتے نظر آئیں تو یہ ان کی دلیر کی وجہ سے نہیں بلکہ اغیار کی کمزوری کی بدولت ہوتا ہے، اسی لیے تاریخ میں ہمیں ان کی کوئی فتوحات نظر نہیں آتیں,یہود اور روافض جنگ میں سب سے بزدل قوم ہیں، جب کبھی بھی ان میں قوت نظر آئے یا غالب ہوتے نظر آئیں تو یہ ان کی دلیری کی وجہ سے نہیں بلکہ اغیار کی کمزوری کی بدولت ہوتا ہے، اسی لیے تاریخ میں ہمیں ان کی کوئی فتوحات نظر نہیں آتیں,"یہود اور روافض جنگ میں سب سے بزدل قوم ہیں، جب کبھی بھی ان میں قوت نظر آئے یا غالب ہوتے نظر آئیں تو یہ ان کی دلیر کی وجہ سے نہیں بلکہ اغیار کی کمزوری کی بدولت ہوتا ہے، اسی لیے تاریخ میں ہمیں ان کی کوئی فتوحات نظر نہیں آتیں

#فحاشی_کی_دلالی_نامنظور","یہود اور روافض جنگ میں سب سے بزدل قوم ہیں، جب کبھی بھی ان میں قوت نظر آئے یا غالب ہوتے نظر آئیں تو یہ ان کی دلیری کی وجہ سے نہیں بلکہ اغیار کی کمزوری کی بدولت ہوتا ہے، اسی لیے تاریخ میں ہمیں ان کی کوئی فتوحات نظر نہیں آتیں

"
405,23755,1,token_replace,میرا,میرے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,43,80,44,1,False,میرا,میرے,میرا ساتھ تو آپکی پکی ناراضگی ھے شاید وہ ہندو کیپٹن نے میرا شکایات لگادی میں نے اس کو کراکرا سنایا تا جب اس نے کچا پکا بکواس کیا اس کے بعد اس نے مجھے بلاک کیا ھے بہرحال جو کچھ بھی ھوا سو ھوا آپ ناراض مت ھو آگر میں نے کچھ غلط لفظ استعمال کیا ھے تو میں اپنے وہ الفاظ واپس لیتا ہوں,میرے ساتھ تو آپکی پکی ناراضگی ھے شاید وہ ہندو کیپٹن نے میری شکایات لگادی میں نے اس کو کراکرا سنایا تھا جب اس نے کچا پکا بکواس کیا اس کے بعد اس نے مجھے بلاک کیا ھے بہرحال جو کچھ بھی ھوا سو ھوا آپ ناراض مت ھو اگر میں نے کچھ غلط لفظ استعمال کیا ھے تو میں اپنے وہ الفاظ واپس لیتا ہوں,@syedagulwis میرا ساتھ تو آپکی پکی ناراضگی ھے شاید وہ ہندو کیپٹن نے میرا شکایات لگادی میں نے اس کو کراکرا سنایا تا جب اس نے کچا پکا بکواس کیا اس کے بعد اس نے مجھے بلاک کیا ھے بہرحال جو کچھ بھی ھوا سو ھوا آپ ناراض مت ھو آگر میں نے کچھ غلط لفظ استعمال کیا ھے تو میں اپنے وہ الفاظ واپس لیتا ہوں,@syedagulwis میرے ساتھ تو آپکی پکی ناراضگی ھے شاید وہ ہندو کیپٹن نے میری شکایات لگادی میں نے اس کو کراکرا سنایا تھا جب اس نے کچا پکا بکواس کیا اس کے بعد اس نے مجھے بلاک کیا ھے بہرحال جو کچھ بھی ھوا سو ھوا آپ ناراض مت ھو اگر میں نے کچھ غلط لفظ استعمال کیا ھے تو میں اپنے وہ الفاظ واپس لیتا ہوں
